key,s,NW,NE,E,SE,SW,W,NWs,NEs,Es,SEs,SWs,Ws,NWl,NEl,El,SEl,SWl,Wl
`,~,,,1,,,,,,!,,,,0,0,12,0,0,0
1,!,,,2,q,,`,,,@,Q,,~,0,0,11,3,0,1
2,@,,,3,w,q,1,,,#,W,Q,!,0,0,10,3,1,2
3,#,,,4,e,w,2,,,$,E,W,@,0,0,9,4,2,3
4,$,,,5,r,e,3,,,%,R,E,#,0,0,8,4,3,4
5,%,,,6,t,r,4,,,^,T,R,$,0,0,7,4,3,5
6,^,,,7,y,t,5,,,&,Y,T,%,0,0,6,4,3,6
7,&,,,8,u,y,6,,,*,U,Y,^,0,0,5,3,4,7
8,*,,,9,i,u,7,,,(,I,U,&,0,0,4,3,4,8
9,(,,,0,o,i,8,,,),O,I,*,0,0,3,3,4,9
0,),,,-,p,o,9,,,_,P,O,(,0,0,2,3,4,10
-,_,,,=,[,p,0,,,+,{,P,),0,0,1,2,3,11
=,+,,,,],[,-,,,,},{,_,0,0,0,1,3,12
q,Q,1,@,w,a,,,!,@,W,A,,,1,1,12,2,0,0
w,W,2,#,e,s,a,q,@,#,E,S,A,Q,1,1,11,3,1,1
e,E,3,$,r,d,s,w,#,$,R,D,S,W,1,1,10,3,2,2
r,R,4,%,t,f,d,e,$,%,T,F,D,E,1,1,9,3,2,3
t,T,5,^,y,g,f,r,%,^,Y,G,F,R,1,1,8,3,2,4
y,Y,6,&,u,h,g,t,^,&,U,H,G,T,1,1,7,3,3,5
u,U,7,*,i,j,h,y,&,*,I,J,H,Y,1,1,6,2,3,6
i,I,8,(,o,k,j,u,*,(,O,K,J,U,1,1,5,2,3,7
o,O,9,),p,l,k,i,(,),P,L,K,I,1,1,4,2,3,8
p,P,0,_,[,;,l,o,),_,{,:,L,O,1,1,3,2,2,9
[,{,-,+,],',;,p,_,+,},"""",:,P,1,1,2,1,2,10
],},=,,\,,',[,+,,|,,"""",{,1,0,1,0,2,11
\,|,,,,,,],,,,,,},0,0,0,0,0,12
a,A,q,w,s,z,,,Q,W,S,Z,,,2,2,10,1,0,0
s,S,w,e,d,x,z,a,W,E,D,X,Z,A,2,2,9,1,1,1
d,D,e,r,f,c,x,s,E,R,F,C,X,S,2,2,8,2,1,2
f,F,r,t,g,v,c,d,R,T,G,V,C,D,2,2,7,2,1,3
g,G,t,y,h,b,v,f,T,Y,H,B,V,F,2,2,6,2,2,4
h,H,y,u,j,n,b,g,Y,U,J,N,B,G,2,2,5,2,2,5
j,J,u,i,k,m,n,h,U,I,K,M,N,H,2,2,4,1,2,6
k,K,i,o,l,",",m,j,I,O,L,<,M,J,2,2,3,1,2,7
l,L,o,p,;,.,",",k,O,P,:,>,<,K,2,2,2,1,1,8
;,:,p,[,',/,.,l,P,{,"""",?,>,L,2,2,1,1,1,9
',"""",[,],,,/,;,{,},,,?,:,2,1,0,0,1,10
z,Z,a,s,x,,,,A,S,X,,,"""",3,3,9,0,0,0
x,X,s,d,c,,,z,S,D,C,,,Z,3,3,8,0,0,1
c,C,d,f,v,U+0020,,x,D,F,V,U+0020,,X,3,3,7,1,0,2
v,V,f,g,b,U+0020,U+0020,c,F,G,B,U+0020,U+0020,C,3,3,6,1,1,3
b,B,g,h,n,U+0020,U+0020,v,G,H,N,U+0020,U+0020,V,3,3,5,1,1,4
n,N,h,j,m,U+0020,U+0020,b,H,J,M,U+0020,U+0020,B,3,3,4,1,1,5
m,M,j,k,",",U+0020,U+0020,n,J,K,<,U+0020,U+0020,N,3,3,3,0,1,6
",",<,k,l,.,,,m,K,L,>,,,M,3,3,2,0,0,7
.,>,l,;,/,,,",",L,:,?,,,<,3,3,1,0,0,8
/,?,;,',,,,.,:,"""",,,,>,3,2,0,0,0,9
 , ,x,",",,,,,X,<,,,,,4,4,0,0,0,0
